,CUSTOMER,cluster
1260,JAA00000448R,1
1261,JBA00000011R,2
1262,JBA00000027R,1
1263,JBA00000149R,2
1264,JBA00000272R,2
1265,JBA00000286R,2
1266,JBA00000293R,2
1267,JDA00000007R,2
1268,JDA00000033R,1
1269,JDA00000042R,2
1270,JDA00000064R,2
1271,JDA00000108R,0
1272,JDA00000123R,2
1273,JDA00000229R,0
1274,JDA00000259R,2
1275,JDA00000296R,1
1276,JDA00000313R,1
1277,JDA00000331R,1
1278,JDA00000357R,2
1279,JDA00000360R,2
1280,JDA00000362R,2
1281,JDA00000364R,2
1282,JDA00000390R,2
1283,JDA00000410R,2
1284,JDA00000423R,1
1285,JDA00000424R,2
1286,JDA00000435R,2
1287,JDA00000442R,1
1288,JDA00000444R,2
1289,JDA00000446R,2
1290,JDB00000020R,2
1291,JDC00000014R,2
1292,JDC00000024R,2
1293,JDC00000025R,2
1294,JEA00000220R,2
1295,JFA00000001R,1
1296,JFA00000004R,2
1297,JGA00000012R,2
1298,JHA00000034R,2
1299,JKA00000053R,2
1300,JKA00000059R,2
1301,JKA00000077R,2
1302,JKA00000093R,1
1303,JKA00000096R,2
1304,JKB00000004R,2
1305,JLC00000025R,2
1306,JLC00000031R,2
1307,JLC00000064R,2
1308,JLC00000066R,2
1309,JLC00000122R,2
1310,JLC00000192R,2
1311,JLC00000214R,2
1312,JLC00000234R,2
1313,JLC00000243R,1
1314,JLC00000249R,2
1315,JLC00000258R,2
1316,JLC00000268R,2
1317,JLC00000269R,1
1318,JLD00000001R,2
1319,JLD00000002R,0
1320,JLD00000012R,2
1321,JLD00000028R,2
1322,JLD00000029R,2
1323,JLD00000034R,2
1324,LAA00000022R,0
1325,LAA00000023R,0
1326,LAA00000035R,2
1327,LAA00000179R,2
1328,LAA00000251R,2
1329,LAA00000266R,2
1330,LAA00000268R,2
1331,LAA00000306R,1
1332,LAA00000309R,1
1333,LAA00000333R,2
1334,LAA00000336R,2
1335,LAA00000355R,1
1336,LAA00000358R,2
1337,LAA00000364R,2
1338,LCA00000067R,1
1339,LCA00000111R,0
1340,LCA00000129R,1
1341,LCA00000131R,0
1342,LCA00000138R,2
1343,LCA00000160R,2
1344,LCA00000196R,1
1345,LCA00000305R,1
1346,LCA00000323R,1
1347,LCA00000325R,1
1348,LCA00000333R,2
1349,OAA00000008R,2
1350,OIA00000005R,2
1351,OIA00000007R,2
1352,OIA00000015R,2
1353,PAA00000024R,2
1354,PAA00000311R,2
1355,QJA00000063R,0
1356,RAA00000014R,2
1357,RAA00000130R,2
1358,RAA00000206R,2
1359,RAA00000299R,2
1360,RAA00000322R,1
1361,RAA00000335R,2
1362,RAA00000339R,1
1363,RAA00000340R,1
1364,SAA00000005R,0
1365,SAA00000025R,2
1366,SAA00000038R,0
1367,SAA00000072R,2
1368,SAA00000205R,2
1369,SAG00000001R,2
1370,SAG00000006R,2
1371,SBA00000084R,1
1372,SBA00000102R,2
1373,SBA00000184R,1
1374,SBA00000194R,2
1375,SBA00000197R,2
1376,SBA00000214R,2
1377,SCA00000119R,1
1378,SDA00000093R,2
1379,SEA00000070R,0
1380,SEA00000100R,1
1381,SEA00000162R,2
1382,SGA00000008R,2
1383,SGA00000011R,2
1384,SGA00000026R,0
1385,SGA00000184R,2
1386,SGA00000245R,2
1387,SHA00000001R,0
1388,SHA00000039R,1
1389,SHA00000288R,1
1390,SHA00000396R,2
1391,SHA00000397R,1
1392,SHA00000400R,2
1393,SIA00000051R,1
1394,SICKAB00002R,1
1395,SJA00000002R,1
1396,SJA00000029R,2
1397,SJA00000038R,2
1398,SJA00000048R,2
1399,SJA00000049R,2
1400,SJA00000094R,2
1401,SJA00000100R,2
1402,SJA00000169R,1
1403,SJA00000226R,1
1404,SJA00000311R,2
1405,SJA00000318R,2
1406,SJA00000346R,2
1407,SKA00000083R,1
1408,SKA00000117R,1
1409,SLA00000004R,2
1410,SLA00000038R,2
1411,SLA00000053R,2
1412,SLA00000060R,2
1413,SLA00000070R,2
1414,SLA00000082R,2
1415,SLA00000130R,2
1416,SLA00000139R,2
1417,SLA00000152R,2
1418,SLA00000157R,2
1419,SLA00000180R,1
1420,SLA00000196R,1
1421,SLA00000201R,2
1422,SLA00000203R,2
1423,SLA00000207R,2
1424,SLA00000210R,1
1425,SLA00000215R,2
1426,SLA00000221R,2
1427,SLA00000244R,2
1428,SLA00000246R,2
1429,SLA00000254R,2
1430,SLA00000256R,1
1431,SLA00000259R,2
1432,SLA00000262R,1
1433,SMA00000076R,1
1434,SMA00000078R,2
1435,SMA00000084R,2
1436,SMA00000092R,1
1437,SMA00000100R,2
1438,SNA00000007R,2
1439,SNA00000010R,2
1440,SNA00000030R,2
1441,SNA00000076R,1
1442,SNA00000108R,1
1443,SNA00000120R,2
1444,SNA00000128R,2
1445,SNA00000132R,1
1446,SNA00000140R,2
1447,SNA00000144R,2
1448,SNA00000147R,2
1449,SPA00000004R,2
1450,SPA00000016R,2
1451,SPA00000126R,2
1452,SPA00000130R,2
1453,SQA00000008R,0
1454,SQA00000011R,0
1455,SQA00000015R,1
1456,SQA00000023R,2
1457,SQA00000036R,2
1458,SQA00000039R,1
1459,SQA00000045R,2
1460,SQA00000046R,1
1461,SQA00000055R,2
1462,SQA00000067R,0
1463,SQA00000107R,1
1464,SQA00000114R,2
1465,SQA00000125R,2
1466,SQA00000312R,2
1467,SQA00000316R,1
1468,SQA00000360R,1
1469,SQA00000390R,2
1470,SQA00000451R,2
1471,SQA00000484R,2
1472,SQA00000534R,2
1473,SQA00000541R,1
1474,SQA00000577R,1
1475,SQA00000587R,2
1476,SQA00000593R,1
1477,SQA00000596R,2
1478,SUA00000161R,1
1479,TAA00000032R,2
1480,TAA00000033R,2
1481,TAA00000037R,2
1482,TCA00000004R,1
1483,TDA00000043R,2
1484,TDA00000053R,1
1485,TDA00000094R,2
1486,TJA00000001R,1
1487,TJA00000025R,0
1488,TJA00000032R,2
1489,TKA00000017R,1
1490,TLA00000007R,2
1491,TNA00000013R,2
1492,TSA00000022R,2
1493,TSA00000047R,2
1494,TSA00000051R,2
1495,TSA00000056R,2
1496,UBA00000003R,0
1497,UBA00000007R,2
1498,UBA00000146R,2
1499,UBA00000157R,2
1500,UCA00000014R,2
1501,UCA00000078R,1
1502,UCA00000124R,0
1503,UDA00000121R,2
1504,UDA00000125R,2
1505,UFA00000029E,0
1506,UFA00000029R,0
1507,UFA00000055R,2
1508,VBA00000079R,1
1509,VBA00000080R,2
1510,VBA00000085R,2
1511,WBA00000126R,2
1512,WBA00000221R,1
1513,WBA00000235R,1
1514,WBA00000248R,2
1515,WBA00000251R,1
1516,XAA00000209R,2
1517,XAA00000222R,2
