CUSTOMER,ITEM,QTY
JDA00000313R,1016296,1
JDA00000331R,6027946,79
JDA00000423R,5307082,1
JDA00000423R,5309397,4
JDA00000423R,6025614,4
JDA00000423R,6030489,1
JDA00000442R,1085899,3
JFA00000001R,1212047,2
JFA00000001R,1212048,2
JFA00000001R,2067169,2
JFA00000001R,6025470,2
JKA00000093R,1085667,2
JKA00000093R,1085668,2
JLC00000243R,1016296,1
JLC00000243R,1200555,6
JLC00000243R,1200558,4
JLC00000243R,1200572,6
JLC00000243R,1200575,4
JLC00000243R,1201061,2
JLC00000243R,1201063,2
JLC00000243R,1203579,2
JLC00000243R,1203584,2
JLC00000243R,2046196,6
JLC00000243R,2046291,6
JLC00000243R,4031608,6
JLC00000243R,4040561,1
JLC00000243R,5312082,2
JLC00000243R,6035129,2
JLC00000243R,6035417,1
JLC00000243R,6035418,1
JLC00000243R,7021907,1
JLC00000269R,5311688,6
JLC00000269R,6025615,6
LAA00000306R,1212051,10
LAA00000306R,1212052,10
LAA00000306R,1213759,10
LAA00000306R,1213760,10
LAA00000306R,2067169,20
LAA00000309R,1085899,2
LAA00000309R,1212054,2
LAA00000309R,1212055,2
LAA00000309R,2067169,2
LAA00000355R,1076398,3
LAA00000355R,2074406,3
LCA00000067R,1212026,1
LCA00000067R,1212027,1
LCA00000067R,1220091,1
LCA00000067R,1220092,1
LCA00000067R,2024263,4
LCA00000067R,2071543,2
LCA00000067R,2071576,1
LCA00000129R,1207669,1
LCA00000129R,1213769,3
LCA00000129R,1213770,3
LCA00000129R,2045070,1
LCA00000129R,2045071,1
LCA00000129R,2067169,3
LCA00000129R,2071542,6
LCA00000129R,6025470,3
LCA00000129R,6033224,2
LCA00000196R,7083082,1
LCA00000305R,1213761,1
LCA00000305R,1213762,1
LCA00000305R,2099265,1
LCA00000305R,6025470,1
LCA00000323R,1024446,2
LCA00000323R,2024352,2
LCA00000325R,1212053,2
LCA00000325R,1212071,2
LCA00000325R,2067169,2
LCA00000325R,6027890,2
LCA00000325R,6027891,2
RAA00000322R,2020204,7
RAA00000339R,1092598,1
RAA00000339R,1092599,1
RAA00000339R,2067169,1
